messnetz,station_id,station_id_ergaenzung,lat,lon
01/01,080,3/1,49.52714,8.50502
01/01,081,2/1,49.528278,8.495316
01/01,081,3/1,49.528278,8.495316
01/01,082,2/1,49.528595,8.48875
01/01,082,3/1,49.528595,8.48875
01/01,083,2/1,49.53053,8.499987
01/01,083,3/1,49.53053,8.499987
01/01,084,2/1,49.53458,8.500475
01/01,084,3/1,49.53458,8.500475
01/01,085,2/1,49.535508,8.500437
01/01,085,3/1,49.535508,8.500437
01/01,086,2/1,49.536532,8.501451
01/01,086,3/1,49.536532,8.501451
01/01,087,2/1,49.542544,8.477132
01/01,087,3/1,49.542544,8.477132
01/01,088,2/1,49.544025,8.441831
01/01,088,3/1,49.544025,8.441831
01/01,089,2/1,49.544202,8.468723
01/01,089,3/1,49.544202,8.468723
01/01,090,2/1,49.548948,8.443468
01/01,090,3/1,49.548948,8.443468
01/01,091,2/1,49.555656,8.449201
01/01,091,3/1,49.555656,8.449201
01/01,092,2/1,49.559996,8.447812
01/01,092,3/1,49.559996,8.447812
01/01,093,2/1,49.564923,8.480316
01/01,093,3/1,49.564923,8.480316
01/01,094,3/1,49.491672,8.46399
01/01,094,2/1,49.491672,8.46399
01/01,095,3/1,49.491851,8.463546
01/01,095,2/1,49.491851,8.463546
01/02,001,4/1,49.4799,8.496362
01/02,002,4/1,49.496397,8.526885
01/02,003,4/1,49.481087,8.494113
01/02,004,4/1,49.489087,8.5102
01/02,005,4/1,49.487928,8.462258
01/02,006,4/1,49.487851,8.462196
01/02,007,4/1,49.48126,8.467296
01/02,008,4/1,49.483685,8.490834
01/02,009,4/1,49.486623,8.488495
01/11,001,1/1,49.481227,8.467244
01/51,001,1/1,49.445174,8.482617
